Source_country,Target_country,Value,Period
Canada,France,981407504,Q4-2021
Canada,Germany,1191233008,Q4-2021
Canada,Italy,589300814,Q4-2021
Canada,Netherlands,1044600151,Q4-2021
Canada,Spain,570541198,Q4-2021
Mexico,France,257980851,Q4-2021
Mexico,Germany,1702576503,Q4-2021
Mexico,Italy,225592227,Q4-2021
Mexico,Netherlands,547053676,Q4-2021
Mexico,Spain,400505758,Q4-2021
USA,France,8940223228,Q4-2021
USA,Germany,16899389921,Q4-2021
USA,Italy,5522002391,Q4-2021
USA,Netherlands,14753665289,Q4-2021
USA,Spain,5045758525,Q4-2021
