Country,Continent,Life_expectancy
Aruba,America,75.72
Afghanistan,Asia,62.58
Angola,Africa,62.26
Albania,Europe,76.99
United Arab Emirates,Asia,78.95
Argentina,America,75.89
Armenia,Asia,72.17
Armenia,Europe,72.17
Antigua and Barbuda,America,78.84
Australia,Oceania,83.20
Austria,Europe,81.19
Azerbaijan,Asia,66.87
Azerbaijan,Europe,66.87
Burundi,Africa,61.57
Belgium,Europe,80.80
Benin,Africa,60.09
Burkina Faso,Africa,59.73
Bangladesh,Asia,71.97
Bulgaria,Europe,73.61
Bahrain,Asia,79.17
"Bahamas, The",America,72.68
Bosnia and Herzegovina,Europe,76.23
Belarus,Europe,74.23
Belize,America,72.85
Bermuda,America,82.06
Bolivia,America,64.47
Brazil,America,74.01
Barbados,America,77.39
Brunei Darussalam,Asia,74.80
Bhutan,Asia,71.61
Botswana,Africa,65.65
Central African Republic,Africa,54.60
Canada,America,81.75
Switzerland,Europe,83.10
Channel Islands,Europe,81.26
Chile,America,79.38
China,Asia,78.08
Cote d'Ivoire,Africa,59.03
Cameroon,Africa,60.83
"Congo, Dem. Rep.",Africa,59.74
"Congo, Rep.",Africa,63.79
Colombia,America,74.77
Comoros,Africa,64.17
Cabo Verde,Africa,74.81
Costa Rica,America,79.28
Cuba,America,77.57
Cyprus,Europe,81.39
Czechia,Europe,78.23
Germany,Europe,80.94
Djibouti,Africa,62.69
Dominica,America,
Denmark,Europe,81.55
Dominican Republic,America,72.89
Algeria,Africa,74.45
"Egypt, Arab Rep.",Africa,70.99
Eritrea,Africa,67.13
Spain,Europe,82.33
Estonia,Europe,78.35
Ethiopia,Africa,65.37
Finland,Europe,82.13
Fiji,Oceania,67.92
France,Europe,82.18
Faroe Islands,Europe,83.09
"Micronesia, Fed. Sts.",Oceania,70.67
Gabon,Africa,66.53
United Kingdom,Europe,80.90
Georgia,Asia,72.77
Georgia,Europe,72.77
Ghana,Africa,64.11
Gibraltar,Europe,82.20
Guinea,Africa,59.33
"Gambia, The",Africa,62.61
Guinea-Bissau,Africa,60.00
Equatorial Guinea,Africa,60.71
Greece,Europe,81.09
Grenada,America,74.92
Greenland,America,71.40
Guatemala,America,71.80
Guam,Oceania,76.61
Guyana,America,68.49
Honduras,America,71.46
Croatia,Europe,77.72
Haiti,America,64.05
Hungary,Europe,75.62
Indonesia,Asia,68.81
Isle of Man,Europe,80.59
India,Asia,70.15
Ireland,Europe,82.20
"Iran, Islamic Rep.",Asia,74.83
Iraq,Asia,69.12
Iceland,Europe,83.07
Israel,Asia,82.70
Italy,Europe,82.34
Jamaica,America,71.87
Jordan,Asia,75.18
Japan,Asia,84.62
Kazakhstan,Asia,71.37
Kazakhstan,Europe,71.37
Kenya,Africa,62.68
Kyrgyz Republic,Asia,71.80
Cambodia,Asia,70.42
Kiribati,Oceania,67.27
"Korea, Rep.",Asia,83.43
Kuwait,Asia,76.92
Lao PDR,Asia,68.50
Lebanon,Asia,77.80
Liberia,Africa,60.95
Libya,Africa,72.47
St. Lucia,America,73.42
Liechtenstein,Europe,81.81
Sri Lanka,Asia,76.39
Lesotho,Africa,54.69
Lithuania,Europe,74.93
Luxembourg,Europe,81.74
Latvia,Europe,75.39
St. Martin (French part),America,80.15
Morocco,Africa,73.92
Moldova,Europe,70.17
Madagascar,Africa,65.18
Maldives,Asia,79.88
Mexico,America,70.13
North Macedonia,Europe,75.69
Mali,Africa,58.63
Malta,Europe,82.65
Myanmar,Asia,66.80
Montenegro,Europe,75.93
Mongolia,Asia,72.14
Mozambique,Africa,61.17
Mauritania,Africa,64.53
Mauritius,Africa,74.18
Malawi,Africa,63.72
Malaysia,Asia,75.94
Namibia,Asia,62.83
New Caledonia,Oceania,80.83
Niger,Africa,61.45
Nigeria,Africa,52.89
Nicaragua,America,71.80
Netherlands,Europe,81.41
Norway,Europe,83.21
Nepal,Asia,69.25
New Zealand,Oceania,82.06
Oman,Asia,74.76
Pakistan,Asia,66.27
Panama,America,76.66
Peru,America,73.67
Philippines,Asia,72.12
Papua New Guinea,Oceania,65.79
Poland,Europe,76.60
Puerto Rico,America,78.04
"Korea, Dem. People's Rep.",Asia,73.27
Portugal,Europe,80.98
Paraguay,America,73.18
West Bank and Gaza,Asia,74.40
French Polynesia,Oceania,82.22
Qatar,Asia,79.10
Romania,Europe,74.35
